Sentences,Risk,Risk_Affinity,Likelihood,Consequences
"National Aeronautics and Space Administration Space Technology Mission Directorate Game Changing Development Program FY2016 3rd Quarter Review TECHNOLOGY DRIVES EXPLORATION Human Exploration Telerobotics 2 (HET2) Terry Fong and Maria Bualat July 19, 2016 2016 3rd Quarter Review ‹#› Project Manager’s 3rd Quarter Assessment Technology Performance Comments T C S P Astrobee Schedule – Minimal margin for cert and flight unit builds.",0,,,
Addressing tight schedule via overlapping builds (incurs risk due to build of some flight components prior to completion of cert unit testing).,1,Schedule,,
Programmatic – Technology transition to customer will be incomplete if current project scope is not increased.,1,Programmatic,,
A one-year (FY18) extension required for check-out and commissioning activities on ISS.,0,,,
"Note: PPBE18 PAA briefing lists on-orbit commissioning as FY18 deliverable, but no formal decision memo extending the project has yet been provided.",0,,,
"Vision based navigation Small, mobile vision based navigation system for operating in 6 DOF Fan based propulsion Operate autonomously within ISS safety constraints ISS 3D path planning Path planning inside ISS Zero-G robotic perching Perching on ISS structure to conserve consumables 2016 3rd Quarter Review ‹#› ‹#› Astrobee Free-Flyer TRL/KPP Assessment TRL FY17 FY16 FY15 Astrobee Free-Flyer Fan based propulsion Zero-G robotic perching Controlled Milestone Key Milestone Project Milestone Vision based navigation Flight Unit testing complete (8/2017) Cert Unit testing complete (3/2017) Prototype 2 testing complete (2/2015) Prototype 3 testing complete (8/2015) Prototype 4 testing complete (4/2016) 50 10 Velocity (cm/sec) Threshold 5 0 Goal Flight Time (hr) Threshold PTR 1 (2/2015) PTR 2 (10/2016) PTR 3 (6/2016) Goal Q3 Review 2016 3rd Quarter Review ‹#› ‹#› Controlled Milestone FY16#1: Prototype 4 testing complete Prototype 4 reflects flight-like hardware design Verified requirements related to hardware design Drafted integration & test procedures for Cert Unit Collected lessons learned for Cert Unit development Challenges 3D printed structure not appropriate for some tests (thermal and EMI) Mass exceeds 6 Kg target Collision mitigation design Accomplishments and Technical Challenges Astrobee Prototype 4 2016 3rd Quarter Review ‹#› ‹#› Payload Interoperability Test REALM payload (RFID reader) developed by AES Logistics project Integrated to Astrobee Prototype 4 Verified power/data interface, read RFID tags, displayed tag info Accomplishments 2016 3rd Quarter Review ‹#› Navigation Demonstration 2016 3rd Quarter Review ‹#› ‹#› Perching Arm Demonstration 2016 3rd Quarter Review ‹#› Conducted Periodic Technical Review #3 Stakeholder review of design, prototype testing, safety, risks, cost and schedule Similar to a Critical Design Review Attendees: GCD, STMD, HEOMD, SPHERES, AES/LORE, ISS Crew Office, ISS Payloads, ISS FOD, and ARC mgmt.",1,Technical,,
"Delta review is planned FY16 Accomplishments 2016 3rd Quarter Review ‹#› ‹#› Conducted Payload Safety Review Panel (PSRP) #2 Reviewed Astrobee Safety Data Package New and updated standard & unique hazards Hazard controls are implemented Verification methods identified Potential safety non-compliance Delta PSRP 2 is planned FY16 Accomplishments 2016 3rd Quarter Review ‹#› Cert Unit subsystem builds Subsystem procurements, manufacturing, assembly, testing Milestones and Forward Plans Controlled Description Baseline Actual Estimated Variance Explanation Q1 – 10/1/2015 to 12/31/2015 R2 crew procedures for power fault troubleshooting 11/30/2015 11/27/2015 R2 supervised midrange handrail localization 12/31/2015 12/11/2015 Q2 – 1/1/2016 to 3/31/2016 Astrobee Prototype 4 ready for integration, validation, & test 1/4/2016 1/4/2016 Q3 – 4/1/2016 to 6/30/2016 Astrobee FY16 #1 Astrobee Prototype 4 testing complete 4/25/2016 4/25/2016 Q4 – 7/1/2016 to 9/30/2016 ✓ ✓ ✓ ✓ 2016 3rd Quarter Review ‹#› ‹#› Summary and Significant Challenges Project Summary Performance Significant Challenges Astrobee transition.",0,,,
"Current baseline will produce flight units “ready to launch”, but not “ready to use” (customer expectation).",0,,,
Still waiting for official approval (decision memo) extending project through FY18 to perform on-orbit commissioning.,0,,,
Period Summary Performance Rationale Cost Schedule Technical Programmatic Q1 Technical – Unresolved power fault with R2 on ISS Schedule – Lack of US crew time for R2 on-orbit activities Programmatic – Astrobee technology transition to customer will be incomplete if current project scope is not increased.,1,Technical,,
Q2 Schedule – Astrobee schedule requires overlapping cert and flight unit builds to achieve “on dock” at end of FY17.,1,Schedule,,
Programmatic – Astrobee technology transition to customer will be incomplete if current project scope is not increased.,1,Programmatic,,
Q3 Schedule – Astrobee schedule requires overlapping cert and flight unit builds to achieve “on dock” at end of FY17.,1,Schedule,,
Programmatic – Astrobee technology transition to customer will be incomplete if current project scope is not increased.,1,Programmatic,,
2016 3rd Quarter Review ‹#› ‹#› Back Up Charts <These charts feed Quarterly Reporting.,0,,,
All charts are required.,0,,,
> ‹#› 2016 3rd Quarter Review ‹#› ‹#› HET2 Overview What would you say to a Senator that you meet in the elevator?,0,,,
The Human Exploration Telerobotics 2 project is developing remotely operated robots to improve the way humans live and work in space.,0,,,
These robots will perform routine housekeeping and in-flight maintenance jobs.,0,,,
"“HET2 is developing new robots to do chores so that humans can focus on more important work” Integration with other projects/programs and partnerships HEOMD STMD other AES: ASO & Logistics Reduction ISS: SPHERES Facility SBIR (2015 STMD subtopic) NSTRF (2011, 2012, 2013, 2014, 2015) Early Career Faculty (2014, 2015) Early Stage Innovation (2014, 2015) Google (NRSAA) Technology Infusion Plans Key Personnel Program Element Manager: Kevin Kempton Project Manager: Terry Fong Lead Center: ARC Supporting Centers: JPL NASA NPR: 7120.8 Guided or Competed: Guided Type of Technology: Push to ISS, Pull from AES Key Facts GCD Theme: RRAS Execution Status: Year 2 of 3 Technology State Date: 10/1/2014 Technology End Date: 9/30/2017 Technology TRL Start: 3 Technology TRL End: 6 Technology Current TRL: 3 (Astrobee) Technology Lifecycle: Astrobee: Phase C (Implementation) 2016 3rd Quarter Review ‹#› 8/31/2021 ‹#› Astrobee Free-Flyer Element What would you say to a Senator that you meet in the elevator?",0,,,
Astrobee is a free flying robot for inside the ISS.,0,,,
It will be used by flight controllers for doing mobile sensing and camera tasks.,0,,,
It will replace SPHERES to be used by researchers for 0g robotics testing.,0,,,
"“Astrobee, free flying robot inside space station for mobile sensing and 0g robotics tests” Integration with other projects/programs and partnerships HEOMD STMD other AES: ASO & Logistics Reduction ISS: SPHERES Facility SBIR STMD 2015 (Phase 2 project) STRG NSTRF (5 Ph.D. students) STRG ESI 2015 (4 projects) Google (NRSAA) Technology Infusion Plans Technology: Free-flying robot Customer: HEOMD (ISS / AES) Use: ISS robotics testbed (SPHERES successor) ISS IVA work that requires mobile sensors (camera, RFID, etc.)",0,,,
"Key Personnel Program Element Manager: Kevin Kempton Project Manager: Terry Fong Lead Center: ARC Supporting Centers: JPL NASA NPR: 7120.8 Guided or Competed: Guided Type of Technology: Push to ISS Program Pull from HEOMD (ISS SPHERES and AES) Key Facts GCD Theme: RRAS Execution Status: Year 2 of 3 Technology State Date: 10/1/2014 Technology End Date: 9/30/2017 Technology TRL Start: 3 Technology TRL End: 6 Technology Current TRL: 4 Technology Lifecycle: Phase C (Implementation) 2016 3rd Quarter Review ‹#› 8/31/2021 ‹#› Technology Advancements Vision based navigation using AR targets and sparse mapping Robotic perching arm development and pan/tilt operations Closed loop control using fan-based propulsion Technology advances mean … Reduced risk in robot localization & docking performance The algorithms selected for localization provide accurate solutions The robot is able to dock using only vision Perching arm design validation – the arm can be used to grasp the handrail, pan & tilt the free flyer without losing grip 6-DOF holonomic control of a free flying robot with an all-electric propulsion system Is the technology push or pull?",,,,
