Sentences,Risk,Risk_Affinity,Likelihood,Consequences
"1GCD FY19 Annual Review Space Technology Mission Directorate Game Changing Development Program — Astrobee Maria Bualat | FY19 Annual Review Presentation | 09.25.2019 GCD FY18 Mid Year ReviewGCD FY19 Annual Review Technology Overview ➢ Technology Goal ▪ The purpose of the Human Exploration Telerobotics 2 (HET2) project is to mature telerobotics technology to increase the performance, reduce the cost, and improve the success of human space exploration.",0,,,
"To do this, HET2 will develop a new free-flying robot, Astrobee to: (1) off-load routine and repetitive work from astronauts, and (2) extend and enhance crew capabilities.",0,,,
"➢ Technical Capabilities ▪ Vision-based navigation ▪ Fan-based propulsion ▪ ISS 3D path planning ➢ Exploration & Science Impact ▪ Remotely operated robots can complement astronauts by performing work under remote supervision by humans from a space station, spacecraft, habitat, or even from Earth.",0,,,
"▪ A semi-autonomous free flyer, such as Astrobee, offers significant potential to perform a variety of tasks, including routine, repetitive or simple but long-duration work, such as conducting environment surveys, taking sensor readings or performing routine maintenance.",0,,,
"▪ In the case of the Gateway, which is uncrewed much of the time, a caretaker free flying robot would allow monitoring, maintenance, and repair of the spacecraft interior when astronauts are not present or are unable to perform such tasks.",0,,,
2 GCD FY18 Mid Year ReviewGCD FY19 Annual Review Mission Infusion & Partnerships 3 2019 to 2024+ • ISS Operations • Maintenance • Payload Support Astrobee ISS Facility FY19 • Guest Science SW & Processes • Simulator Development • On Orbit Install Checkout & Demo Astrobee Commissioning FY16 to FY18 • Infrastructure & Lab Upgrades • Integration & Test Support • Flight Build Support • Operations Planning Products Astrobee Development & Build 2006 to 2018 • ISS Operations • Consumables • Maintenance • Payload Support SPHERES ISS Facility 2 Contributing Partner: HEOMD / AES GCD FY18 Mid Year ReviewGCD FY19 Annual Review Astrobee Technology Goals & Project Objectives 4 Technology Goals Goal #1 Develop a free-flying robot that is capable of performing Intravehicular (IVA) work on the ISS.,0,,,
"Goal #2 Develop robotic technologies required for autonomous operations, remote ground control, and human- robotic interaction.",0,,,
"Project Objectives Objective #1 Design, build, and test 3 Astrobee free flyer robots (2 flight, 1 ground)*, 2 Docking Stations (1 flight, 1 ground), and all associated hardware, software, and ground systems needed to operate Astrobee on ISS.",0,,,
"Objective #2 Develop supporting technologies include propulsion, robot user interface (proximal and remote), supervisory control, payload interface, and navigation.",0,,,
"Objective #3 Check out, tune, and characterize performance on board the ISS during commissioning.",0,,,
"*3 additional units (1 flight, 2 ground) will be delivered to ISS Program Astrobee Facility GCD FY18 Mid Year ReviewGCD FY19 Annual Review Astrobee Performance 5 Key Performance Parameters Performance Parameter State of the Art Threshold Value Project Goal Estimated Current Value Max velocity (cm/s) 4 10 40 40 Flight time (hr) 0.5 2.0 5.0 3.1 Dock & resupply Crew tended Crew tended Autonomous Autonomous Hosted Payloads 1 2 4 3 Consumables per ISS test 6 0 0 0 Notes: Current value justification: inspection, analysis and testing.",0,,,
The “State of the Art” for ISS free-flying robots is SPHERES.,0,,,
"GCD FY18 Mid Year ReviewGCD FY19 Annual Review Astrobee Technical Approach 6 • The project will conduct incremental design and development of a free flyer that meets project, stakeholder, and ISS interface and safety requirements.",0,,,
"Stakeholders include the ISS SPHERES Facility, the SPHERES Working Group, HEOMD AES program, ISS program, Flight Operations Directorate (FOD), Payload Operations & Integration Center (POIC) and others.",0,,,
The project and stakeholders have provided general and scenario specific functional requirements.,0,,,
• Astrobee will be developed incrementally over a series of prototypes.,0,,,
Earlier prototypes will address trade studies and areas of risk.,0,,,
The later prototypes will implement system requirements and incrementally mature the system design.,0,,,
"Each prototype will have stated objectives, both as overall system, and for subsystem development.",0,,,
"Astrobee testing will validate system requirements and capabilities, and buy down risk.",0,,,
• The prototypes are not treated as flight hardware.,0,,,
"Prototyping allows the team to make design changes at a rapid pace, without the overhead of flight hardware processes.",0,,,
The Astrobee Project is willing to accept the risk of damage to prototype hardware in order to take advantage of the limited processes.,0,,,
"• The Certification Units will be developed off the final prototype design, with any modifications as a result of prototype testing.",0,,,
"These units will not only be used for performance testing, but also for ISS interface requirement verification and certification.",0,,,
"• Finally, two Flight Units will be developed.",0,,,
These units will be developed and assembled following ARC procedures and processes for flight hardware.,0,,,
They will then be shipped to JSC for launch processing.,0,,,
"7GCD FY19 Annual Review Project Accomplishments – Docking Station Successfully Launched, Installed and Checked Out Astrobee Dock • The Astrobee Docking Station launched on board Northrup Grumman 10 (NG-10) on 11/17/2018.",0,,,
• The Cygnus cargo ship was captured and berthed at the Unity module of the ISS on 11/19/2018.,0,,,
• Canadian astronaut David Saint- Jacques installed and checked out the Astrobee Docking Station (Dock) in the Japanese Experiment Module (JEM) on 2/15/2019.,0,,,
CSA Astronaut David Saint-Jacques tests the operation of the Astrobee magnetic berths.,0,,,
"8GCD FY19 Annual Review Project Accomplishments – Integration 8 Family photo: Queen (green), Honey (yellow), Bumble (blue), 2 perching arms, 2 batteries Successfully Built and Shipped Free-Flyer Flight Units • Completed building all flight free flyers on 1/4/2019.",0,,,
• The first two flight free flyers (Honey and Bumble) were shipped to JSC on 1/8/2019.,0,,,
The second two (Queen and spare) were shipped to JSC on 1/22/2019.,0,,,
• Implemented a fix for an issue found with the perching arm gripper.,0,,,
Four flight grippers were shipped to JSC on 3/28/2019 and underwent acoustic testing on 4/2/2019.,0,,,
9GCD FY19 Annual Review Project Accomplishments – Testing 9 Astrobee in the JSC acoustic test facility.,0,,,
"Pictured Astrobee team members from left to right: Vinh To, Honey Bee, Ernie Smith, Roberto Carlino.",0,,,
Completed Free-Flyer Pre-Launch Testing • Completed EMI testing on 1/15/2019.,0,,,
Received an exception for radiated emissions.,0,,,
• Passed magnetic tests for launch and ops in the USOS.,0,,,
"• Completed Joint Station LAN (JSL) testing on 1/15/2019, including remote ops from ARC via MSFC HOSC.",0,,,
• Completed acoustic testing on 1/30/2019 in the Acoustic Test Facility at JSC.,0,,,
Received an exception to allow extended free flyer ops.,0,,,
"GCD FY19 Annual Review Project Accomplishments – Launch #2 Successfully Launched 2 Free Flyers to ISS • The first two Astrobee free-flyers, Honey and Bumble, along with the Docking Station spares kit, launched on the Northrup Grumman 11 (NG- 11) rocket from Wallops Flight Facility on 4/17/2019.",0,,,
The Cygnus spacecraft was captured and berthed at the ISS on 4/19/2019.,0,,,
"NG-11 launch (Photos: NASA/Bill Ingalls) 10 GCD FY19 Annual Review Project Accomplishments – Bumble Checkout Successfully checked out Bumble on ISS • On 4/30/2019, Astronaut Anne McClain unpacked, powered on, and checked out the first Astrobee robot (Bumble).",0,,,
All Bumble Bee subsystems are operating nominally.,0,,,
NASA Astronaut Anne McClain unpacks Bumble.,0,,,
"Bumble on the Docking Station 11 GCD FY19 Annual Review Project Accomplishments – Calibration Collected Bumble Calibration and JEM Mapping Data • On 5/13/2019, Astronaut Anne McClain manually ""flew"" Bumble Bee throughout the Japanese Kibo laboratory module to collect NavCam imagery.",0,,,
We used this data to build a feature map for localization.,0,,,
"McClain then collected calibration data for Bumble's NavCam, DockCam, and Inertial Measurement Unit (IMU).",0,,,
Comparison of data collected on orbit to pre-flight shows that Bumble suffered no loss of calibration during launch.,0,,,
NASA Astronaut Anne McClain spins Bumble to collect IMU calibration data.,0,,,
"12 GCD FY19 Annual Review Project Accomplishments – Mapping Second Mapping Activity on ISS • On 5/23/2019, Astronaut David Saint Jacques performed an Astrobee mapping activity, collecting navigational camera (NavCam) imagery of the Japanese Kibo Laboratory.",0,,,
CSA Astronaut David Saint Jacques moves Bumble to collect mapping imagery data.,0,,,
"CSA Astronaut David Saint Jacques and Bumble Bee 13 GCD FY19 Annual Review Project Accomplishments – First Flight Astrobee Localization and Mobility Activity • On 6/14/2019, the first Astrobee robot, Bumble Bee, flew under its own power on the ISS for the first time.",0,,,
"During the first Localization and Mobility session, the Astrobee team verified the robot's ability to hold position (station keeping against a variety of external forces), to perform specific motions (translations and rotations), to navigate using its computer vision system, and autonomously undock.",0,,,
14 CSA Astronaut David Saint-Jacques observes as Astrobee undocks itself for the first time.,0,,,
"GCD FY19 Annual Review Project Accomplishments – Launch #3 Queen Bee and Perching Arms Arrive on ISS • The 3rd Astrobee free-flying robot, Queen Bee, launched aboard the SpaceX CRS-18 Falcon 9 on 7/25/2019.",0,,,
