Sentences,Risk,Risk_Affinity,Likelihood,Consequences
"1GCD FY18 Mid Year Review Space Technology Mission Directorate Game Changing Development Program John A. Hogan, Synthetic Biology Project | FY21 Mid-Year Review Presentation | 03.03.21 GCD FY18 Mid Year Review Technology Overview ➢ Technology Product Capability Two Elements – BioNutrients and CO2-based Manufacturing ▪ BioNutrients: develop and demonstrate an on-demand nutrient production system for long- duration missions to mitigate demonstrated nutrient degradation in stored foods.",0,,,
"Develop an evolvable platform for future surface missions – capable of producing other compounds (e.g., Medicines) requiring minimal resources.",0,,,
"Perform an ISS time-course hydration, incubation, freezing and return for analysis over 5-year period.",0,,,
▪ CO2-based Manufacturing: develop and demonstrate a prototype system that enables microbial manufacturing via abiotic CO2 conversion to products that drive biomanufacturing for future long- duration missions.,0,,,
"➢ Technical Capabilities ▪ Reduced gravity compatible bioreactor development ▪ Long-duration ambient storage of microorganisms ▪ Methods for ensuring quality and safety of biomanufactured products ▪ Development of ISRU based growth media ▪ Space-relevant biomanufacturing system development ▪ Space qualified organisms for biomanufacturing 2 Future Implementation Concept BioNutrients - 1 Flight Production Pack for on- orbit testing Hybrid CO2-Based Biomanufacturing Concept GCD FY18 Mid Year ReviewGCD FY21 Mid Year Review Mission Impact 3 Potential NASA Applications Government Investments Supporting In-Space Biomanufacturing DARPA/DOD/Space Force Biofoundries Program In-Space Biomanufacturing BRICS Living Structural Materials NASA STMD STRI Center for the Utilization of Biological Engineering for Space (CUBES) NASA STTR Nature’s Fynd - Fungal Protein Mango Materials - Bioplastics NASA STMD GCD Synthetic Biology project at ARC: BioNutrients & CO2-Based Manufacturing NASA Centennial Challenges CO2 Conversion Challenge GCD FY18 Mid Year ReviewGCD FY21 Mid Year Review SynBio BioNutrients Element Technology Goals & Project Objectives 4 Technology Goals Goal #1 Develop a platform technology for safe, on-demand microbial production of nutrients during missions.",0,,,
Goal #2 Demonstrate hardware/microbes in space and use results to guide this technology development effort.,0,,,
Goal #3 Develop in-space implementation requirements and methods for initial deployment.,0,,,
Project Objectives Objective #1 Conduct 5-year test to verify concept and create space-adapted hosts for future tests.,0,,,
Objective #2 Develop space-ready low mass/volume storage and growth system Objective #3 Develop and verify a food safety plan to prepare for operational use GCD FY18 Mid Year ReviewGCD FY21 Mid Year Review SynBio CO2-Based Manufacturing Goals & Project Objectives 5 Technology Goals Goal #1 Develop microbiological techniques using ISRU to add enhanced capabilities for In Space Manufacturing.,0,,,
Goal #2 Provide methods to enable novel liquid amine CO2 removal systems for human life support.,0,,,
Goal #3 Provide technology tests and trade studies demonstrating the technology’s potential impact on lunar and Mars surface missions.,0,,,
"Project Objectives Objective #1 Design, build, and test a prototype CO2-to-relevant mission product system in ground based facilities.",0,,,
Objective #2 Provide enabling physicochemical methods for producing organic microbial feedstock from CO2 and water.,0,,,
GCD FY18 Mid Year ReviewGCD FY21 Mid Year Review Chief Engineer Status Slide 6 Enter your status of completion in the table below.,0,,,
This information is required for the MYR assessment.,0,,,
"NOTE: The official SPAR data call will be released in March; however, this information while contained in the SPAR tab, is necessary for the MYR assessment.",0,,,
"Assessment Information to be Completed in GCD SharePoint Applicable (Yes/No) Status (complete/incomplete) KPP’s entered into SharePoint SPAR tab *only enter NO/Incomplete if KPPs are not yet approved by GCD CE yes Complete Updated Technology Providers – Academia, Industry no Updated Potential Customers – OGA, Industry, Primary Partner yes Complete Updated Contributing Partner – OGA, Industry, Academia, etc.",0,,,
