Sentences,Risk,Risk_Affinity,Likelihood,Consequences
National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16032 Page 1 of 11 Revision: Initial GCD Continuation Review Board Recommendation Memo Memo Date: 11/17/2015 Review Date & Location: 10/01/2015 at ARC Bld.,0,,,
"N262 Room 100 Project Name: AstroBee Project Manager: Terry Fong, Project Manager for Human Exploration Telerobotics II (HET2), ARC Continuation Review Board Members: Kevin S. Kempton, Program Element Manager, GCDPO (Chair) Rob Ambrose, Principal Technologist STMD Mark Micire, Subject Matter Expert, DARPA Jason Crusan, AES Director, HQ, LaRC Continuation Review Presenters: Chris Provencher, AstroBee Element Manager, ARC (Presenter) Maria Bualat, HET2 Deputy Project Manager, ARC Trey Smith, AstroBee Systems Engineer, ARC (Presenter) Jonathan Barlow, AstroBee, ARC (Presenter) Ernie Smith, AstroBee Safety Lead, ARC (Presenter) Astrobee Subsystem Leads (Structures, Communications, C&DH, GN&C, Flight SW, Propulsion, Thermal, Avionics, Sensors, Power, Ground Systems, Perching Arm) Other Stakeholders in Attendance: Mary Beth Wusk, GCD PIM, LaRC Bill Van Dalsem, ARC TI Division Chief, ARC Dawn McIntosh, ARC TI, ARC Jessica Marquez, ARC TI, ARC Dave Korsmeyer, ARC R, ARC Craig Mhyre, ARC RE Division Chief, ARC Kuok Ling, ARC RE Avionics Branch Chief, ARC Kenny Vassigh, Office of Chief Engineer, ARC Jose Bendavides, SPHERES PM, ARC Jonathan Barlow, SPHERES Engineeting, ARC Aric Katterhagen, SPHERES Operations, ARC James L. Broyan, AES Logistics Reduction Sponsor PM, JSC Andrew W. Chu, AES Logistics Reduction Technical Lead, JSC Pat Fink, AES Logistics Reduction Principle Investigator, JSC Phong Ngo, AES Logistics Reduction Chief Engineer, JSC Al Holt, ISS Research Integration Office, Technology Development Office, JSC Leonard Yowell, ISS Research Integration Office, Technology Development Office, JSC National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16032 Page 2 of 11 Revision: Initial Henry Orosco, ISS RIO: Payload Integration RIM, JSC Larry Cotton, ISS RIO: Payload Integration PIM, JSC Don Pettit, ISS Crew Office Astronaut, JSC Jennifer Goldsmith, ISS Crew Office Crew Rep, ISS Chris Edelen, FOD Flight Director, JSC Andrea Kramer, Joint Station LAN (JSL) Lab (SDIL) Tameka Stewart, Huntsville Operations Support Center (HOSC) Mai Lee Chang, ISS Requirement Verification/HFIT Holly Smith, JSC Engineering/Acoustics Carl Konkel, Payload Software (Boeing) Purpose of the Review The GCD Continuation Review is a key decision point for multiyear projects to assess actual performance against expected performance as specified in the approved Project Plan.",0,,,
The output of the Continuation Review is this recommendation letter that is sent to the GCD Program Control Board.,0,,,
The Continuation Review provides projects with the opportunity to present technical results and also programmatic performance to Subject Matter Experts and GCD Representatives.,0,,,
The 2015 AstroBee Continuation Review was held in conjunction with an AstroBee Periodic Technical Review (PTR #2).,0,,,
State of the Project The AstroBee Project Element falls under the Human Exploration Telerobotics 2 (HET2) Project.,0,,,
"The HET2 Project Plan was approved on November 17, 2014.",0,,,
"A GCD Change Request (CR-248) was approved on June 28, 2015 that added $60K for parts and $149K for WYE labor.",0,,,
In addition the CR approved $350K in FY16 & FY17 to cover FTE backpack fees which were not accounted for in the original cost estimate provided at the DPMC.,0,,,
The AstroBee project is beginning its second year of a four year development effort and maintains strong support from its stakeholders as demonstrated by their participation at this technical review.,0,,,
The team is focused on delivering an extremely versatile system that will be operationally ready to take over from the highly successful SHPERES system as one of the most used research tools on the ISS.,0,,,
"In addition to the research capabilities, the team is performing a significant amount of design work to ensure AstroBee will be an effective operational tool for performing routine tasks on the ISS.",0,,,
National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16032 Page 3 of 11 Revision: Initial The AstroBee project is taking a spiral development approach by developing higher and higher fidelity prototypes and learning from each one to improve the next prototype.,0,,,
This year the AstroBee team has completed Prototype 2 and prototype 3 on schedule.,0,,,
"Prototype 2 provided a basic development platform with interim avionics and propulsion, and provides 3-DOF mobility (x, y, yaw).",0,,,
It tested closed loop control of 4 fans with variable pitch propellers using computer vision based tracking to perform docking.,0,,,
The Avionics subsystem implemented low and midlevel processors and the Flight Software subsystem utilized the Robot Operating System (ROS).,0,,,
The use of ROS will greatly promote collaboration with academia in the development of future capabilities.,0,,,
"With a near flight like C&DH system, prototype 3 is currently being used as a test bed to continue advancing key technologies such as vision based navigation and automatic docking technologies.",0,,,
"In addition to the prototype units, the team has designed the AstroBee docking station and communication system for the ISS.",0,,,
They have also designed the AstroBee Ground data system and have upgraded the primary navigation test facility at ARC.,0,,,
The navigation test facility (granite lab) provides a two dimensional navigation simulator that can test a wide variety of AstroBee functions.,0,,,
The team provided a tour to the review attendees with a live demonstration of the waypoint navigation and docking using a visual target.,0,,,
Prototype 3 uses variable pitched propellers for propulsion which have been deemed too risky for the final design.,0,,,
The AstroBee Project has now converged on an innovative propulsion design which has reduced volume and lowered the likelihood of some key technical and safety risks.,0,,,
The new design has a modular architecture which will help reduce operational maintenance issues and also makes it easier to distribute the development work.,0,,,
This new design architecture is being incorporated into the Prototype 4 which is expected to be ready for testing in February 2016.,0,,,
The prototype 4 design incorporates electrical and mechanical interfaces that will simplify the integration of experiments and operational tools to the AstroBee system.,0,,,
This includes the development of open source Application Program Interfaces (APIs) to simplify the software integration and testing with AstroBee experiments.,0,,,
"The AstroBee team has developed a large set of project management and systems engineering documents (PM Plan, SEMP, SMA Plan, CM Plan, RMP, I&T Plan, ConOps, IMP, etc.)",0,,,
which were made available to the review team.,0,,,
All of the key systems engineering process areas are actively being addressed and are documented in the Project’s SEMP.,0,,,
The team has also performed several formal trade studies to select the specific components used in the prototypes.,0,,,
"These include trade studies on the Propulsion approach, the perching approach, the operating system, the data bus, National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16032 Page 4 of 11 Revision: Initial the processors, the visual mapping approach, the visual pose estimation approach, the software framework, the external sensors and the thermal approach.",0,,,
The team is activity communicating with stakeholders to elicit feedback on how AstroBee will operate on the ISS.,0,,,
They have developed a stakeholder assessment spreadsheet to identify stakeholders and expectations.,0,,,
Much of this communication was facilitated by providing excellent story board ConOps descriptions.,0,,,
The team is also actively working safety issues with ISS safety personnel to ensure the design will meet ISS safety requirements.,0,,,
A payload safety review panel was conducted to review the AstroBee safety data package.,0,,,
"Finally, a wide variety of software tools and simulators have been developed to support testing and operations.",0,,,
"Project cost, and schedule performance against the plan Cost Performance: The team has maintained development to the planed cost.",0,,,
Workforce levels have tracked very closely to the plan.,0,,,
A Change Request for additional AstroBee resources was submitted due to a misunderstanding of whether the FTE backpack costs were included with the FTE allocations was approved.,1,Cost,,
