Sentences,Risk,Risk_Affinity,Likelihood,Consequences
National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16073 Page 1 of 14 Revision: Initial GCD Continuation Review Board Recommendation Memo Memo Date: 7/21/2016 Review Date & Location: 6/23/2016 at ARC Bld.,0,,,
"N258 Auditorium Project Name: Human Exploration Telerobotics 2 (HET-2) Project Manager: Terry Fong, Project Manager for HET-2, ARC Element Name: Astrobee Element Manager: Chris Provencher, Element Manager for Astrobee, ARC Continuation Review Board Members: Kevin S. Kempton, Program Element Manager, GCDPO (Chair) Jeff Sheehy, Chief Engineer STMD Mark Micire, Subject Matter Expert, DARPA Jason Crusan, AES Director, HQ, LaRC Continuation Review Presenters: Terry Fong, Project Manager for HET-2, ARC Chris Provencher, AstroBee Element Manager, ARC (Presenter) Trey Smith, AstroBee Systems Engineer, ARC (Presenter) Ernie Smith, AstroBee Safety Lead, ARC (Presenter) Astrobee Subsystem Leads (Structures, Communications, C&DH, GN&C, Flight SW, Propulsion, Thermal, Avionics, Sensors, Power, Ground Systems, Perching Arm) Other Stakeholders in Attendance: LaNetra Tate, GCD Program Executive, HQ Harry Partridge, ARC Chief Technologist, ARC Dawn McIntosh, ARC TI, ARC Drew Demo, Code RE Systems Branch Chief, ARC Bill Caldwell, Code RE Mechanical Branch Chief, ARC Andres Martinez, Code R Small Satellite PM, ARC Steve Jara, Code QS Chief SMA Officer for ISS Payloads, ARC Ali Luna Guarneros, Code QS Astrobee SMA, ARC Kenny Vassigh, Office of Ames Chief Engineer, ARC Shak Ghassemieh, Code D Office of Ames Chief Engineer, ARC Jose Benavides, SPHERES PM, ARC Jonathan Barlow, SPHERES Engineering Lead, ARC Simeon Kanis, SPHERES Ops, ARC Jessica Marquez, ARC TI, ARC Dave Korsmeyer, ARC R, ARC Craig Mhyre, ARC RE Division Chief, ARC National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16073 Page 2 of 14 Revision: Initial Kuok Ling, ARC RE Avionics Branch Chief, ARC Jose Bendavides, SPHERES PM, ARC Jonathan Barlow, SPHERES Engineering, ARC Maria Bualat, HET 2 DPM, ARC James L. Broyan, REALM-2/Logistics Reconnaissance (LORE) PM, JSC Al Holt, ISS Research Integration Office, Technology Development Office, JSC Andrew W. Chu, REALM-2/Logistics Reconnaissance (LORE) Project Lead, JSC Pat Fink, REALM-2/Logistics Reconnaissance (LORE) PI, JSC Henry Orosco, ISS RIO: Payload Integration RIM, JSC Larry Cotton, ISS RIO: Payload Integration PIM, JSC Jennifer Goldsmith, ISS Crew Office Crew Rep, ISS Chris Edelen, FOD Flight Director, JSC Ivy McLeod, Flight Ops Directorate: ISS flight controller, JSC Beau Simpson, Payload Operations & Integration Center: Payload Ops Director, JSC Brian Johnson, Multi Mission Operations Center, JSC Tameka Stewart, Huntsville Operations Support Center (HOSC) Margaret Sterling, ISS Payloads: Joint Station LAN facility, JSC Mai Lee Chang, ISS Requirement Verification/HFIT Holly Smith, JSC Engineering/Acoustics Carl Konkel, Payload Software (Boeing) Chen Deng, ISS Payloads: Verification Justin Cartledge, ISS Payloads: Displays Standards Katrina Whitlock, ISS Payloads: Interface Requirements Purpose of the Review The GCD Continuation Review is a key decision point for multiyear projects to assess actual performance against expected performance as specified in the approved Project Plan.",0,,,
The output of the Continuation Review is this recommendation report that is sent to the GCD Program Control Board.,0,,,
The Continuation Review provides projects with the opportunity to present technical results and also programmatic performance to Subject Matter Experts and GCD Representatives.,0,,,
This 2016 Continuation Review was held in conjunction with the Astrobee Periodic Technical Review (PTR) #3 which provided a CDR level review of the Astrobee Certification Unit design.,0,,,
State of the Project The AstroBee Project Element falls under the Human Exploration Telerobotics 2 (HET2) Project.,0,,,
"The latest version of the HET2 Project Plan was approved on January 27, 2016.",0,,,
A GCD Change National Aeronautics and Space Administration Game Changing Development Program DCN: GCDP-02-MEMO-16073 Page 3 of 14 Revision: Initial Request (CR-362) was approved on 3/30/2016 that added L1 requirements for Astrobee.,0,,,
An earlier change request added funds for FTE backpack costs that were not included in the original budget.,0,,,
The AstroBee project is well into its second year of a four year development effort.,0,,,
Astrobee continues to have strong support from its end users and AES customer as demonstrated by their participation at this technical review.,0,,,
The Astrobee project has recently completed testing on its 4th generation design (Prototype 4) and is completing final designs for the Astrobee “Certification Unit”.,0,,,
Lessons learned during development of Prototype 4 have greatly influenced the design of the Certification Unit.,0,,,
"At this review the Astrobee team presented CDR level designs of the Certification Unit, which will be used to qualify the Flight Units and uncover any design issues.",0,,,
A delta PTR#3 is scheduled for November.,0,,,
This review will be more focused on the software.,0,,,
The Astrobee project plans on releasing the official science payload interface document at this time.,0,,,
"After this review, changes to the flight unit design will be limited to fixes needed based on issues found during the testing of the certification unit.",0,,,
"Currently, the project is funded to deliver two Astrobee flight units.",0,,,
Per the approved HET-2 Project Plan the Flight Unit Testing is scheduled to complete on 8/15/2017.,0,,,
"The customer for Astrobee, Advanced Exploration Systems (AES), has requested that the project deliver additional operational support hardware (including a third flight unit, additional ground hardware, and spares) for which AES will provide the funding for and for the Astrobee project to perform system qualification testing on the ISS prior to handover in FY18 which would require additional funding from STMD to complete.",0,,,
This effort is being referred to as the Astrobee Commissioning Phase.,0,,,
Funding for the STMD portion of the Commissioning Phase will be discussed by STMD management in the 4th quarter of FY16 after FY18 funding projections are better understood when the current PPBE cycle completes.,0,,,
"AES has provided a budget commitment for the transition of operations, on going operations, and the additional operational support hardware as part of the PPBE18 process.",0,,,
