Sentences,Risk,Risk_Affinity,Likelihood,Consequences
GCD PPBE22 New Content Existing Projects_Syn Bio Space Technology Mission Directorate Game Changing Development Program PPBE 22 – Existing Projects – New Content John Hogan| FY20 Synthetic Biology| 02.28.20 ‹#› GCD PPBE 22 Existing Project – New Content 1 2 Existing Project - BioNutrients New Additional Content Summarize where the technology will be at the current end of project Delivered and tested in low earth orbit a platform technology for the on-demand microbial manufacturing of multiple human nutrients to mitigate nutrient deficiencies in the current pre-packaged food system for long duration missions.,0,,,
"Conduct 5-year test of a production pack system that enables required nutrient production after long-duration storage of the microorganisms and media, requires minimal mass and volume, and complies with required food safety requirements.",0,,,
Develop and flight test a Hazard Analysis and Critical Control Point (HACCP) plan and in-space monitoring methods for ensuring food safety requirements for future implementation during missions.,0,,,
"Summarize additional content Automation of nutrient production pack operation to ensure product consistency, reduce crew time, and monitor/maintain safety.",0,,,
Work with HRP Food Systems (JSC) to go beyond demonstration to provide a viable edible product and associated safety protocols.,0,,,
"Identify/develop new products to support exploration missions – additional nutrients, pharmaceuticals, and high value compounds.",0,,,
"Provide a clear statement of “why” the additional content needs to be developed and the importance/nature of additional content being proposed Automation will allow for production with minimal crew intervention, and can decrease human error and variability.",0,,,
"Nutrient requirements are evolving, with an expectation that multiple compounds and means of delivery of those compounds will become required as the nutrient and pharmaceutical requirements mature.",0,,,
"Developing a method to deliver an edible microbial food product in flight and consumption by crew will be instrumental to identifying and addressing challenges in palatability, acceptability, safety, and reliability.",0,,,
"GCD FY18 Mid Year Review GCD PPBE 22 Existing Project – New Content 2 3 Existing Project – CO2-Based Manufacturing New Additional Content Summarize where the technology will be at the current end of project A ground tested, reduced gravity-compatible prototype with “space-ready” microbe(s), producing carbonic anhydrase from CO2-derivable feedstock.",0,,,
(TRL 3/4) Use case scenarios and systems analysis for Lunar and Martian surface missions.,0,,,
"Summarize additional content Refinement of production platform for Lunar or Martian surface mission deployment (increasing overall system TRL to 4, some components to 5).",0,,,
Facilitate development and integration of newly developed SOA CO2 conversion technologies to increase production potential (e.g.,0,,,
sugars) of microbial growth substrate.,0,,,
Novel product identification and production via microbial engineering (e.g.,0,,,
"nutrients, pharmaceuticals, food, additional enzymes/products).",0,,,
"Provide a clear statement of “why” the additional content needs to be developed and the importance/nature of additional content being proposed To meet the evolving in-space manufacturing requirements of future Lunar and Martian surface missions, providing a test platform for reliable, safe, low ESM CO2-based manufacturing capabilities.",0,,,
"GCD FY18 Mid Year Review GCD PPBE 22 Existing Project – New Content 3 4 BioNutrients New Additional Content - Approach Describe how and when technology will be infused in future systems Describe how the technologies work together and are used in system performance Expansion of nutritional products, assessment of palatability/acceptability and use of products by crew on ISS.",0,,,
"This supplements the prepackaged food system, addressing critical nutrient degradation in long duration missions.",0,,,
"Automation prototyping to decrease crew time, increase safety, performance and utility of BioNutrients products and platform.",0,,,
Supports draft HRP Food Roadmap that proposes inflight testing (including Lunar surface) in the 2028/29 timeframe.,0,,,
