Sentences,Risk,Risk_Affinity,Likelihood,Consequences
"Synthetic Biology (SynBio) Project Plan NASA Langley Research Center Hampton, VA 23681 Game Changing Development Program Synthetic Biology Project Plan Document Control Number: GCDP-02-PLN-19048 Revision: Initial Document Date: September 17, 2020 Effective Date: October 30, 2020 This Synthetic Biology project plan will follow the NPR 7120.8 process for the research and development areas, and a tailored 7120.5 for the BioNutrients flight activities.",0,,,
The plan outlined in this document is valid for the life cycle of the project.,0,,,
A GCD Change Request (CR) is used to document changes from the plan.,0,,,
It is the responsibility of each of the signing parties to notify the others in the event that the plan needs to be revised.,0,,,
Game Changing Development Program Synthetic Biology (SynBio) Project Synthetic Biology Project Plan Document No.,0,,,
: GCDP-02-PLN-19048 Revision: Initial Document Date: 09/8/2020 Page 59 of 47 20 Synthetic Biology - Signature Page Prepared By: //Signature on File 9/22/2020 John A. Hogan Date Project Manager NASA Ames Research Center Concurred By: //Signature on File 9/23/2020 Rupak Biswas Date STMD Center POC NASA Ames Research Center Approved By: //Signature on File 10/30/2020 Drew J.,0,,,
Hope Date Program Manager Game Changing Development Program Document History Log Status (Initial Baseline or Revision) Document Revision Effective Date Description of Change Baseline - 10/30/2020 Develop an initial baseline of the Synthetic Biology Project Plan Table of Contents 1.0 Project Goals 6 2.0 Project Objectives 8 3.0 Technical Performance 13 4.0 Resource Requirements 17 5.0 Technical Approach 18 6.0 Management Approach 31 7.0 Work Breakdown Structure 33 8.0 Schedule and Milestones 34 9.0 Strategy for Technology Transition 37 Appendix A: Additional Plan Paragraphs 38 A-1 Risk Management Plan 38 A-2 Security Plan 39 A-3 Safety Plan 39 A-4 National Environmental Policy Act (NEPA) Compliance 39 A-5 Planetary Protection 40 A-6 Systems Engineering 40 A-7 Commitments from External Organizations 43 Appendix B: Acronym List 44 List of Tables Table 1.,0,,,
Deliverables 12 Table 2.,0,,,
Key Performance Parameters – BioNutrients Task 14 Table 3.,0,,,
Key Performance Parameters – CO2-Based Manufacturing Task 16 Table 4.,0,,,
Project Resource Allocations1 17 Table 5.,0,,,
Technology Readiness Assessments 30 Table 6.,0,,,
Roles and Responsibilities 32 Table 7.,0,,,
WBS Dictionary 34 Table 8.,0,,,
Key and Controlled Milestone List 35 List of Figures Figure 1.,0,,,
CO2 – based manufacturing platform for bioproduct production.,0,,,
10 Figure 2.,0,,,
Initial BioNutrients-1 flight experiment operations scheduling 20 Figure 3.,0,,,
ISS Production Pack Upon Removal from Kit Bag 21 Figure 4.,0,,,
Capped ISS Production Pack (SABL and MELFI Configuration) 21 Figure 5.,0,,,
Organizational Structure 32 Figure 6.,0,,,
WBS Structure 34 Figure 7.,0,,,
"Project Schedule for BioNutrients and CO2-Based Manufacturing Tasks 35 Project: Synthetic Biology Lead Center: Ames Research Center NPR: 7120.8 Period of Performance: FY19 – FY24 PjM: John A. Hogan Phase: Implementation PEM: Kevin Kempton PT: James Broyan 1.0 Project Goals Many of the current logistical strategies developed for crewed missions within low Earth orbit (LEO) are impractical for future, long-duration lunar and Mars exploration missions.",0,,,
"To meet logistic requirements, current missions commonly rely on the four “R’s” - resupply, repair by replacement, redundant systems, and retreat to Earth.",0,,,
This approach results in substantial mass and volume requirements that are highly proportional to mission duration.,0,,,
"Additionally, there are no guarantees that all required items will be available by supply or resupply strategies.",0,,,
"To enable greater mission self-sufficiency for long-duration missions to the moon and beyond, a new paradigm is required – one that enables mission planners to adopt a “make it , don’t take it” approach by using advanced In Situ Resource Utilization (ISRU) and In-Space Manufacturing (ISM) techniques for on-demand production.",0,,,
The Space Technology Mission Directorate (STMD) Game Changing Development (GCD) Synthetic Biology (Syn Bio) project is designed to demonstrate the value of emerging synthetic biology approaches to meet mission demands.,0,,,
"It is the intent to leverage new techniques to design, build, and test biomanufacturing systems; capable of operating in demanding space environments, be able to withstand extended periods of storage before use, and perform safely and reliably.",0,,,
"In addition, the Syn Bio project is also focusing on methods to reduce the logistical requirements for biomanufacturing in space.",0,,,
"In particular, the project is focusing on using in situ resources (i.e., CO2) that can be converted to the organic substrates required for heterotrophic microbial growth.",0,,,
"This is an important capability that will allow biomanufacturing systems to scale to viable production systems for mission products such as food components, pharmaceuticals, polymers, fuels, and a range of valuable chemicals.",0,,,
Such capabilities will also spur progress for purely chemical (non-biological) synthesis methods for in situ product generation.,0,,,
"Technology Gaps – While terrestrial microbial biomanufacturing processes are capable of making a vast array of commercial products, there are numerous technical challenges associated with implementing biomanufacturing during long-duration missions.",0,,,
The overarching needs include: 1.,0,,,
Maintaining viable microorganisms for numerous years to be ready for use when needed.,1,Technical,,
"This is made more complicated in that space-based, long-duration storage is likely to be at room-temperature, rather than the optimal -80oC typically used terrestrially.",0,,,
"Therefore, improved microbial stasis / storage methods need to be evolved and tested in space and for long durations.",0,,,
"Low power, mass, and volume microbial reactors that perform well in reduced and / or microgravity conditions.",1,Technical,,
"Terrestrial reactors are commonly large, heavy metal reactors with a wide range of supporting hardware and require significant cleaning and sterilizing operations.",0,,,
"In contrast, space-based bioreactors need to be developed to be small and light, require little maintenance and ensure sterility, desirable gas diffusion, effective fluids management, and efficient biomass and product harvesting.",0,,,
Use of in situ resources to reduce required biomanufacturing consumables.,1,Technical,,
"Consumable usage can be substantial in terrestrial microbial biomanufacturing processes, particularly growth media supply and water requirements.",0,,,
Scaled space biomanufacturing will require the ability to efficiently and rapidly make readily-metabolized media from in situ resources such as CO2 and water.,0,,,
Developing methods to ensure products meet product safety and quality requirements.,1,Technical,,
"Products such as nutrients, food components, and pharmaceuticals require stringent quality standards for both safety and effectiveness.",0,,,
Common quality control processes used in terrestrial operations utilize extensive resources and methods that are not space-compatible.,0,,,
Low-overhead procedural and in-space monitoring systems will need to be developed to meet customized requirements.,0,,,
The Syn Bio project includes two inter-related technology tasks to address the above technology gaps and develop and demonstrate valuable biomanufacturing capabilities that will serve future missions.,0,,,
They include: 1.,0,,,
"BioNutrients This effort focuses on the on-demand production of fresh, high-value nutrients that supplement crew food supplies, thereby addressing the observed degradation of certain nutrients in stored foods and supplements during long-duration missions to the moon or Mars.",0,,,
CO2-Based Manufacturing This task is developing and testing a demonstration system that reduces media supply costs via a hybrid method of in situ physico-chemical (P / C) conversion of local CO2 and water resources to small organic molecules that are subsequently used to feed microorganisms that are engineered to biomanufacture mission-relevant products.,0,,,
These efforts directly address the STMD Strategic Thrusts: ST1.,0,,,
"Expand Utilization of Space: Enable servicing, assembly, manufacturing, and resource utilization.",0,,,
Enable Humans to Live and Explore in Space and on Planetary Surfaces: Provide efficient / scalable infrastructure to support exploration at scale ST6.,0,,,
