Sentences,Risk,Risk_Affinity,Likelihood,Consequences
Game Changing Development Program Human Exploration Telerobotics 2 (HET2) GCD Project Plan Document No.,0,,,
": GCDP-02-PLN-14080 Revision: B Document Date: 12/21/2016 Page 2 of 45 NASA Langley Research Center Hampton, VA 23681 Game Changing Development Program Human Exploration Telerobotics 2 (HET2) Project Plan Document Control Number: GCDP-02-PLN-14080 Revision: B Document Date: 12/21/2016 Effective Date: tbd This agreement is valid for two years from the date of signature although it may be changed through the GCD Change Request (CR) process.",0,,,
It is the responsibility of each of the signing parties to notify the others in the event that the plan cannot be met and to initiate the timely renegotiations of the terms of this agreement.,0,,,
"Human Exploration Telerobotics 2 - Signature Page Prepared By: Terrence Fong Date Project Manager NASA Ames Research Center Center Concurrence: David Alfano Date Chief (Acting), Intelligent Systems Division NASA Ames Research Center Approved By: Mary E. Wusk Date Program Manager Game Changing Development Program Document History Log Status Document Revision Effective Date Description of Change Baseline Initial 11/17/2014 To develop an initial baseline of the HET2 Project Plan Revision A 01/27/2016 Added Robonaut 2 plan for FY16-Q1.",0,,,
Clarified that Robonaut 2 element is only active during FY15 and FY16-Q1.,0,,,
Changed “Free-Flyer” to Astrobee.,0,,,
"Updated Astrobee budget, tasks, success criteria/TRL, schedule, and KPP’s.",0,,,
Added Astrobee L1 requirements.,0,,,
Added Task Agreement for SUPERball Bot.,0,,,
Revised reference to NASA Technology Roadmap (TA 4).,0,,,
Revision B tbd Extended Astrobee to FY18.,0,,,
Revised Astrobe FY17 task milestone dates.,0,,,
Added Astrobee ISS commissioning task including two controlled milestones in FY18.,0,,,
Updated GCD chief engineer.,0,,,
Clarified Astrobee transition to the AES/SPHERES program.,0,,,
Table of Contents 1.0 Objectives 6 1.1 Introduction 6 1.2 Technical Objectives 7 1.2.1 Astrobee 7 1.2.2 Robonaut 2 7 1.2.3 Success Criteria 8 1.3 Impact 8 1.4 Relevance 9 2.0 Technical Approach 11 2.1 Concept of Operations 11 2.2 ISS Testing 12 2.3 Astrobee Element 12 2.3.1 Level 1 Requirements 13 2.3.2 Astrobee Technology Development Task 13 2.3.3 Astrobee Validation and Test Task 17 2.3.4 Astrobee ISS Commissioning Task 19 2.4 Robonaut 2 Element 22 2.4.1 R2 Climbing Task 22 2.4.2 R2 IVA Task Development 23 2.4.3 R2 Efficient Programming 24 3.0 Performance 26 4.0 Systems Engineering 29 5.0 Management Approach 30 5.1 Organizational Structure 30 5.2 Reporting 32 5.2.1 Project Reporting 32 5.2.2 Programmatic Reporting 33 5.3 Reviews 33 5.4 Risk Management 34 5.5 Configuration Management 34 6.0 Resource Requirements 35 6.1 Funding Requirements 35 6.1.1 Astrobee External Resources 36 6.1.2 Robonaut 2 External Resources 36 6.2 Institutional Requirements 36 6.2.1 Astrobee 36 6.2.2 Robonaut 2 37 7.0 Schedule 38 7.1 Astrobee 38 7.2 Robonaut 2 39 8.0 Work Breakdown Structure 39 9.0 Strategy for Technology Transition 40 10.0 Security Plan 41 11.0 Safety Plan 42 12.0 National Environmental Policy Act (NEPA) Compliance 42 Appendix A: Acronym List 43 Appendix B: Key Personnel Contact Information 44 Appendix C: Task Agreement for SUPERball Bot (GCDP-02-TA-16028) 45 Appendix D: Applicable Documents 46 List of Tables Table 1.,0,,,
HET2 Success Criteria 8 Table 2.,0,,,
HET2 relevance to the 2015 Robotics and Autonomous Systems (TA 4) technology roadmap 9 Table 3.,0,,,
Astrobee Level 1 Requirements 13 Table 4.,0,,,
Astrobee Technology Development Task Milestones 17 Table 5.,0,,,
Astrobee Validation and Test Milestones 18 Table 6 Astrobee ISS Commissioning Milestones 21 Table 7.,0,,,
R2 Climbing Task Milestones 23 Table 8.,0,,,
R2 IVA Task Development Milestones 23 Table 9.,0,,,
R2 Efficient Programming Milestones 25 Table 10.,0,,,
Key Performance Parameters (Astrobee) 26 Table 11.,0,,,
Key Performance Parameters (Robonaut 2) 27 Table 13.,0,,,
TRL Advancement (Astrobee) 27 Table 14.,0,,,
TRL Advancement (Robonaut 2) 29 Table 15.,0,,,
Roles and Responsibilities 31 Table 16.,0,,,
Project Resource Allocations 35 Table 17.,0,,,
WBS Dictionary 40 List of Figures Figure 1.,0,,,
Organizational Structure 30 Figure 2.,0,,,
Key HET2 events 38 Figure 3.,0,,,
"WBS Structure 39 Objectives Introduction The purpose of the Human Exploration Telerobotics 2 (HET2) project is to mature telerobotics technology to increase the performance, reduce the cost, and improve the success of human space exploration.",0,,,
"To do this, HET2 will develop a new free-flying robot, Astrobee, and mature Robonaut 2, to: (1) off-load routine and repetitive work from astronauts, and (2) extend and enhance crew capabilities.",0,,,
HET2 will test these robots in laboratories on the ground and on the International Space Station (ISS).,0,,,
HET2 is a research and technology project within the Game Changing Development Program (GCD) in NASA's Space Technology Mission Directorate (STMD).,0,,,
