Sentences,Risk,Risk_Affinity,Likelihood,Consequences
GCDP TAPR Summary Report for the Synthetic Biology Project Game Changing Development Program GCDP TAPR Summary Report for the Synthetic Biology Project Document No.,0,,,
": GCDP-02-RPT-21075 Revision: Initial Document Date: 07/07/2021 Page 3 of 14 NASA Langley Research Center Hampton, VA 23681 Game Changing Development Program Technical Assessment Periodic Review (TAPR) Summary Report for the Synthetic Biology (SynBio) Project Document Control Number: GCDP-02-RPT-21075 Revision: Initial Document Date: July 07, 2021 Effective Date: September 02, 2021 Signature Page Prepared/Concurred By: //Signature on File 09/02/2021 Rebecca Ernst Date Review Manager Game Changing Development Program //Signature on File 07/08/2021 Kevin Kempton Date Program Element Manager Game Changing Development Program Concurred By: //Signature on File 08/30/2021 Amanda Cutright Date Chief Engineer, Game Changing Development Program Approved By: //Signature on File 09/02/2021 Barbara B. Hilton for Gary Meyering Date Program Manager, Game Changing Development Program Document History Log Status (Baseline or Revision) Revision Effective Date Description of Change Baseline - 09/02/2021 Develop an initial baseline of the Synthetic Biology TAPR Summary Report.",0,,,
Table of Contents 1.0 Purpose 5 2.0 Attendance 5 3.0 Review Agenda 6 4.0 Success Criteria Assessment 7 5.0 Findings 7 5.1 Key Performance Parameters 8 5.2 Technology Readiness Levels 9 5.3 Technology Infusion 9 5.4 Risk Management 10 6.0 Actions (A) and Recommendations (R) 11 6.1 Actions 11 6.2 Recommendations 11 7.0 Review Summary 12 8.0 Dissenting Opinions 12 Appendix A: Checklist 13 Appendix B: Acronyms 14 Tables and Figures Table 1.,0,,,
Voting Members 5 Table 2.,0,,,
Ex Officio Members 5 Table 3.,0,,,
Success Criteria Assessment 7 Table 4.,0,,,
Synthetic Biology Key Performance Parameters 1-3 8 Table 5.,0,,,
Synthetic Biology Key Performance Parameters 4-5 8 Figure 1.,0,,,
Synthetic Biology Technology Readiness Level 9 Figure 2.,0,,,
Synthetic Biology Forward Infusion Plans 10 Figure 3.,0,,,
"Synthetic Biology Risk Management 10 Purpose The TAPR served as an independent technical review to assess the progress that the Synthetic Biology Project made against its goals and milestones and provide feedback on the future direction of the project, including planned technical activities, milestones, and infusion plan.",0,,,
"The Review Panel assessed and provided comments on the technical accomplishments of the project since the last review, how it advanced the Technology Readiness Level (TRL) of each individual technical capability elements under development, and progress that was made against the project’s Key Performance Parameters (KPPs) and milestones.",0,,,
"In addition, the Panel reviewed the technical direction of the project and its infusion plan and provided any recommendations on planned activities or infusion opportunities, paying particular attention to the identification of challenges and/or gaps with respect to current project planning and stakeholder requirements.",0,,,
Attendance Table 1.,0,,,
Voting Members Voting Members Name Affiliation Role Email Address Kevin Kempton GCD Program Element Manager (PEM) Chair Gerard Dismukes Rutgers University Subject Matter Expert Jamie Foster University of Florida Subject Matter Expert Dave Pletcher Chief Engineer – Flight Implementation Branch NASA Ames Research Center Subject Matter Expert Table 2.,0,,,
