Sentences,Risk,Risk_Affinity,Likelihood,Consequences
SynBio - Feb 2021 Monthly Status Report final Space Technology Mission Directorate Game Changing Development Program —Synthetic Biology (SynBio) Frances Donovan| Synthetic Biology Project Monthly Status Report | 04.2021 1 Project Overview Technology Product Capability Develop and demonstrate an on-demand nutrient production system for long-duration missions to mitigate demonstrated nutrient degradation in stored foods.,0,,,
"Develop an evolvable platform for future surface missions – capable of producing other compounds (e.g., Medicines) requiring minimal resources.",0,,,
"Perform an ISS time-course hydration, incubation, freezing and return for analysis over 5 year period.",0,,,
Develop and demonstrate a prototype system that enables microbial manufacturing via abiotic CO2 conversion to products that drive biomanufacturing for future long-duration missions.,0,,,
"Technical Capabilities Reduced gravity compatible bioreactor development Long-duration ambient storage of microorganisms Methods for ensuring quality and safety of biomanufactured products Development of ISRU based growth media Space-relevant biomanufacturing system development Space qualified organisms for biomanufacturing Exploration & Science Applicability Cross-cutting: Supports crew health, enhanced logistics, mission sustainability and risk reduction for extended duration habitation missions on the moon (Artemis) and Mars and space-based outposts.",0,,,
"2 Hybrid CO2-Based Biomanufacturing Concept Future Implementation Concept BioNutrients -1 Flight Production Pack for on-orbit testing Provide an overview of the Project/Task The slide content is intended to remain static unless significant changes are made to the Project Pictures are encouraged, please provide new pictures as frequently as possible 2 Project Highlights/Accomplishments 3 Title Type Element Description New Image for EPO Highlight Submitted Yeast expression of a potential therapeutic Follistatin confirmed in BN-2 engineered yeast test BioNutrients Production of Follistatin confirmed in BN-2 engineered yeast via FLAG-tag assay.",0,,,
Concentration to be determined with follow on assays.,0,,,
Expression of Follistatin expands the products generated in the BioNutrients element to include both nutrients and potential therapeutics.,0,,,
This result will ultimately be presented via scientific publication.,0,,,
"n/a No, should wait for BN-2 pre-flight announcements/scientific publication.",0,,,
"Title - Provide a title for any noteworthy highlight/accomplishment Type – Milestone, EPO, Test, etc..",0,,,
Element – Portfolio Project: Specific Facet.,0,,,
Other: Map to Tech Assessment / Tech Element / Tasks Provide your description.,0,,,
New Image for EPO – Yes – Project Overview Slide or No.,0,,,
"Highlight Submitted – No, Yes, Will submit on XX/XX/XXXX.",0,,,
3 SynBio Cost: Schedule: Programmatic: Technical: Project description: Build organisms and bioreactor systems to demonstrate the value of emerging synthetic biology approaches to meet mission demands and support in situ resource utilization.,0,,,
Current TRL: 3 The BN-2 ISS Kick-off meeting was completed in February and the draft Payload Integration Agreement (PIA) has been uploaded to the OZ Requirements Baseline and Integration Tool (ORBIT).,0,,,
A CEF to approve the PIA is currently open and review is expected to complete by the end of the March.,0,,,
