Sentences,Risk,Risk_Affinity,Likelihood,Consequences
SynBio - May 2021 Monthly Status Report Space Technology Mission Directorate Game Changing Development Program — Synthetic Biology (SynBio) Frances Donovan| Synthetic Biology Project Monthly Status Report | 05.2021 1 Project Overview Technology Product Capability Develop and demonstrate an on-demand nutrient production system for long-duration missions to mitigate demonstrated nutrient degradation in stored foods.,0,,,
"Develop an evolvable platform for future surface missions – capable of producing other compounds (e.g., Medicines) requiring minimal resources.",0,,,
"Perform an ISS time-course hydration, incubation, freezing and return for analysis over 5 year period.",0,,,
Develop and demonstrate a prototype system that enables microbial manufacturing via abiotic CO2 conversion to products that drive biomanufacturing for future long-duration missions.,0,,,
"Technical Capabilities Reduced gravity compatible bioreactor development Long-duration ambient storage of microorganisms Methods for ensuring quality and safety of biomanufactured products Development of ISRU based growth media Space-relevant biomanufacturing system development Space qualified organisms for biomanufacturing Exploration & Science Applicability Cross-cutting: Supports crew health, enhanced logistics, mission sustainability and risk reduction for extended duration habitation missions on the moon (Artemis) and Mars and space-based outposts.",0,,,
"2 Hybrid CO2-Based Biomanufacturing Concept Future Implementation Concept BioNutrients -1 Flight Production Pack for on-orbit testing Provide an overview of the Project/Task The slide content is intended to remain static unless significant changes are made to the Project Pictures are encouraged, please provide new pictures as frequently as possible 2 Project Highlights/Accomplishments 3 Title Type Element Description New Image for EPO Highlight Submitted Systems Requirement Review review BioNutrients Internal project milestone is complete.",0,,,
Science and Demonstration Requirements Document and Concept of Operations to be baselined week of 5/10/2021.,0,,,
"n/a No Phase 0/1 Safety Review review BioNutrients BN-2 mission ISS Payload Safety Review Panel initial review of materials, chemicals, and operations proposed for BN-2 ISS mission.",0,,,
Panel had minimal concerns and provided feedback on expected safety verification tests and analysis.,0,,,
Status is approved with modifications of safety documents.,0,,,
"n/a No Title - Provide a title for any noteworthy highlight/accomplishment Type – Milestone, EPO, Test, etc..",0,,,
Element – Portfolio Project: Specific Facet.,0,,,
Other: Map to Tech Assessment / Tech Element / Tasks Provide your description.,0,,,
New Image for EPO – Yes – Project Overview Slide or No.,0,,,
"Highlight Submitted – No, Yes, Will submit on XX/XX/XXXX.",0,,,
3 SynBio Cost: Schedule: Programmatic: Technical: Project description: Build organisms and bioreactor systems to demonstrate the value of emerging synthetic biology approaches to meet mission demands and support in situ resource utilization.,0,,,
Current TRL: 3 PPBE package submitted with new proposed milestone schedule due to COVID impacts.,1,Programmatic,,
"Minimal increase in cost (10k) in FY22, modest increase in out years.",0,,,
CR reflecting this request is in work.,0,,,
No cost issues at this time.,0,,,
"BioNutrients-2 production pack development and testing, and CO2-based manufacturing bioreactor and genetic engineering of organisms delayed due to mandatory telework.",1,Schedule,,
"Lab access has been regained on a limited basis for BioNutrients activities only (Nov 30), and impacts to the schedule of both tasks are ongoing.",1,Schedule,,
"No known technical challenges at this point, but schedule delays are impacting our progress.",0,,,
"4 Monthly Trend Y Y Monthly Trend Monthly Trend G G G G Monthly Trend G Y G Y G G G G G G G G Y Y Project Manager’s Assessment Chart Provide a brief 1 or 2 line description of the Project and the Current TRL Provide a monthly assessment for each area Cost, Schedule, Technical, and Programmatic (top right corner of each section).",0,,,
Do not change the colors for previously reported months Red: Challenge or risk requires program support Yellow: Challenge or risk can be managed within the project Green: All project performance is satisfactory Primarily focus on notable achievements or challenges your Project would like to highlight for awareness in that month Portfolio Projects: Just speak to the ones that are yellow/red – speak to the specific element that has issues… 4 Project Management/General PPBE phase 1 package submitted.,0,,,
Proposes new schedule based on return to facilities July 1.,0,,,
CR is in work.,0,,,
TAPR and Design Review for BN-2 payload expected in June 14-25th time frame.,0,,,
CUBES Annual Review to be held May 5-6th.,0,,,
CO2 conversion Centennial Challenge status: Phase 2 judging is commencing for three teams.,0,,,
Summer internships: two students have been selected for summer internships SynBio Additional Project Information 4 BioNutrients BN-2 System Requirements Review (SRR) internal project milestone is complete.,0,,,
Science and Demonstration Requirements Document and Concept of Operations to be baselined week of 5/10/2021.,0,,,
BN-2 phase 0/1 Safety Review passed 4/28/2021.,0,,,
BN-2 Manifest Request Loader (MR Loader) data uploaded and ISS program review initiated on 4/29/2021.,0,,,
BN-2 Investigation Summary Form submitted for ISS program review on 4/30/2021.,0,,,
BN-2 Gen 1 bioreactor bag test with yeast engineered strains: Figure 1 biomass measurements indicate biocompatibility/growth and concomitant ethanol production within the bioreactor.,0,,,
This small amount of ethanol is expected and containment within the bioreactor is preferred by safety.,0,,,
"Figure 2, Preliminary pressure testing of FEP bag indicates yeast growth will not create a pressure vessel.",0,,,
Preliminary testing indicates that the maximum design pressure of the bioreactor exceeds expected pressure values obtained during growth cycle.,0,,,
"As planned, further testing and analysis will be used to verify safety requirements for this mission.",0,,,
CO2-Based Manufacturing System Development Commercial support for test and fabrication as well as organism bio-engineering continues.,0,,,
Purchase request in work to obtain a product-secreting capability in our chassis organism which will expand our capabilities and simplify product purification for secretion products.,0,,,
Purchase request in work for a commercial vendor for proprietary cell lysis technologies to be tested for our system.,0,,,
Evaluation of commercial products and activities in the CO2 based manufacturing space has led to ESM analysis of various COTS options.,0,,,
"System requirements are being refined with systems engineering support, requirements document is being drafted.",0,,,
"Fig 1 BN-2 Biomass results for Y55, Boulardii, K.lactis-FOL tested in 5mil FEP bags.",0,,,
Ethanol concentration in the bag following 48hrs of incubation.,0,,,
K.lactis wild type strain tested prior to testing with engineered follistatin producing strain.,0,,,
Fig 2 BN-2 FEP bioreactor growing yeast does not fully expand bag material and generates pressure far below the maximum design pressure.,0,,,
Preliminary results.,0,,,
"5 Milestone Title (Mirror Project Plan) Baseline Date Planned Date Variance Explanation Status of milestones due since last report C4-CO2 ​Space Compatible System Design Review​ 04/15/21 TBD, targeting Dec 2021 Delay due to lack of lab access, target date is for 6 months after expected return to lab.",1,Schedule,,
CR will be submitted in combination with PPBE per direction at PM forum.,0,,,
"Status of milestones due in the next 60 days C3-BN Generation 1 Flight Pack Design Review – will now combine with TAPR, targeting mid-June, new baseline set to July 15.",0,,,
July 15 June 15-25 time frame SME reviewers identified and their availability for this review confirmed.,0,,,
